|≈Ωodis                       |Kiek pasikartojo             |Kuriuose eilutƒóse kartojosi 
Angl                          6                             1 12 16 18 20 22 
Anoniminiame                  2                             2 20 
Anonimin‰ô                    2                             4 6 
Apie                          2                             12 24 
Ar                            7                             1 16 16 16 18 24 24 
Arba                          3                             6 10 12 
AsmenÂ≥                       2                             2 24 
Bei                           4                             10 16 24 24 
Bitcoin                       5                             8 9 10 10 10 
Bitkoino                      2                             14 14 
Buvo                          4                             8 8 12 13 
BÂ´ti                         2                             10 13 
Dalis                         4                             1 2 16 22 
Dar                           3                             12 13 16 
DaÂænai                       3                             2 2 6 
DaÂæniausiai                  3                             8 12 16 
Filmai                        2                             16 16 
Gali                          3                             6 10 10 
Galima                        5                             1 2 12 14 16 
Gareth                        3                             8 27 27 
Giliojo                       3                             2 16 22 
Gilusis                       2                             2 2 
Iki                           2                             16 20 
Internetas                    7                             1 2 2 2 2 2 4 
Internete                     4                             8 14 16 16 
Interneto                     7                             1 2 2 2 16 22 22 
Ir                            18                            1 2 2 4 8 10 10 12 12 13 16 16 16 18 18 20 22 24 
IÂ°                           2                             8 13 
Jame                          2                             1 2 
Jo                            2                             1 14 
JÂ≥                           2                             18 24 
Kad                           4                             8 13 13 18 
Kai                           3                             18 24 24 
Kelio                         2                             13 13 
Kone                          2                             14 14 
Kur                           4                             18 18 24 24 
Kuri                          2                             6 12 
Kuriuose                      3                             16 16 20 
K‰Ö                           2                             2 16 
Marianos                      3                             21 22 22 
Matyti                        2                             14 20 
Moterys                       2                             16 24 
Narkotikai                    2                             13 16 
NarkotikÂ≥                    3                             10 13 13 
NarÂ°ykl‰ós                   2                             2 6 
Neindeksuoja                  2                             1 2 
NuodagÂ≥                      4                             15 16 16 16 
O                             3                             8 18 20 
Owen                          3                             8 27 27 
Pasak                         2                             20 22 
Pasaulyje                     2                             4 13 
Pasiekti                      2                             1 6 
Pat                           5                             4 6 12 24 24 
PavadinimÂ≥                   2                             6 6 
PavirÂ°inis                   2                             2 2 
PavyzdÂæiui                   2                             6 16 
Per                           2                             4 6 
PinigÂ≥                       2                             10 24 
Po                            2                             13 24 
Puslapiai                     2                             2 16 
Rasti                         2                             1 16 
Raudonieji                    2                             19 20 
RaÂ°oma                       2                             13 18 
Redaguoti                     9                             3 5 7 9 11 15 17 19 21 
Savo                          4                             2 10 16 24 
StruktÂ´ra                    2                             6 6 
Su                            9                             2 8 8 10 16 16 16 24 24 
SvetainiÂ≥                    2                             8 16 
Svetain‰ó                     2                             6 16 
Svetain‰ós                    5                             6 6 8 8 24 
Tai                           4                             2 6 13 13 
Taip                          6                             2 4 6 12 24 24 
Tamsiajame                    4                             1 8 16 16 
Tamsiojo                      3                             6 6 22 
Tamsusis                      4                             1 2 2 4 
Ta‰ùiau                       6                             6 13 13 14 16 24 
Ten                           2                             2 22 
Tinklas                       2                             22 22 
Tinkle                        2                             1 2 
Tinklo                        5                             4 4 6 6 10 
Tod‰ól                        2                             4 10 
Tor                           6                             2 4 4 6 12 27 
Tyrimas                       2                             8 10 
VaikÂ≥                        5                             8 16 22 24 24 
Vaizdo                        4                             16 20 20 22 
Valiutos                      2                             10 14 
Vartotojo                     2                             4 4 
Vienas                        5                             6 13 16 20 20 
Vikitekst‰Ö                   9                             3 5 7 9 11 15 17 19 21 
Visame                        2                             4 13 
Vyriausyb‰ó                   2                             10 13 
Web                           2                             1 22 
Yra                           9                             2 4 8 10 16 16 20 24 24 
ƒùia                          2                             12 16 
ƒø                            4                             6 10 13 20 
ƒøraÂ°ai                      2                             16 20 
ƒøvairaus                     2                             1 24 
≈†ilko                        5                             11 12 13 13 14 
≈°io                          2                             2 10 
≈æmoniÂ≥                      2                             13 20 
≈æmon‰ós                      4                             10 16 24 24 
